"","GSM1045191","GSM1045192","GSM1045193","GSM1045194","GSM1045195","GSM1045196","GSM1045197","GSM1045198","GSM1045199","GSM1045200","GSM1045201","GSM1045202","GSM1045203","GSM1045204","GSM1045205","GSM1045206","GSM1045207","GSM1045208","GSM1045209","GSM1045210","GSM1045211","GSM1045212","GSM1045213","GSM1045214","GSM1045215","GSM1045216","GSM1045217","GSM1045218","GSM1045219","GSM1045220","GSM1045221","GSM1045222","GSM1045223","GSM1045224","GSM1045225","GSM1045226","GSM1045227","GSM1045228","GSM1045229","GSM1045230","GSM1045231","GSM1045232","GSM1045233","GSM1045234","GSM1045235","GSM1045236","GSM1045237","GSM1045238","GSM1045239","GSM1045240","GSM1045241","GSM1045242","GSM1045243","GSM1045244","GSM1045245","GSM1045246","GSM1045247","GSM1045248","GSM1045249","GSM1045250","GSM1045251","GSM1045252","GSM1045253","GSM1045254","GSM1045255","GSM1045256","GSM1045257","GSM1045258","GSM1045259","GSM1045260","GSM1045261","GSM1045262","GSM1045263","GSM1045264","GSM1045265","GSM1045266","GSM1045267","GSM1045268","GSM1045269","GSM1045270","GSM1045271","GSM1045272","GSM1045273","GSM1045274","GSM1045275","GSM1045276","GSM1045277","GSM1045278","GSM1045279","GSM1045280","GSM1045281","GSM1045282","GSM1045283","GSM1045284","GSM1045285","GSM1045286","GSM1045287","GSM1045288","GSM1045289","GSM1045290","GSM1045291","GSM1045292","GSM1045293","GSM1045294","GSM1045295","GSM1045296","GSM1045297","GSM1045298","GSM1045299","GSM1045300","GSM1045301","GSM1045302","GSM1045303","GSM1045304","GSM1045305","GSM1045306","GSM1045307","GSM1045308","GSM1045309","GSM1045310","GSM1045311"
"237351_at",6.365317723,2.312811642,2.662790361,3.488320178,7.188542269,7.962346072,7.738889994,7.628549529,7.674281799,6.419992609,7.53317742,7.602337872,6.125697084,7.362295864,7.543476822,7.500108567,7.887700745,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.645883175,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,4.717519487,2.312811642,2.312811642,2.314679512,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.495458306,2.327441346,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.616520371,2.312811642,2.312811642,2.326410503,2.435144345,2.312811642,2.312811642,2.312811642,2.312811642,4.681940391,2.312811642,2.312811642,2.360196871,2.314899117,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.318669067,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.31283473,2.312811642,2.312811642,2.312811642,2.725510002,2.312811642,2.312811642,2.312811642,2.312811642
"214505_s_at",10.09752477,5.059264688,4.932825165,4.458825574,10.62008865,9.66531291,11.13482584,9.731044902,10.29975023,8.160006242,9.384868967,10.33149908,9.110739265,9.790547326,10.70003215,9.400789648,10.60870411,3.498890417,3.697808393,3.703707903,4.236750354,3.370703223,3.730358306,3.475284331,3.475284331,3.475284331,3.475284331,2.744226683,3.475284331,3.475284331,3.475284331,3.786342927,6.862820861,3.58629129,3.59252628,3.58629129,3.475284331,3.58629129,3.562040825,2.885972161,2.885972161,3.475284331,3.516688677,2.885972161,2.955101398,3.58629129,3.274704424,3.222375662,4.634247377,3.802043515,3.475284331,3.58629129,4.359267099,3.475284331,3.424432282,3.801665182,3.170983906,3.58629129,3.475284331,3.58629129,6.088281419,4.880416454,3.056594062,3.475284331,3.475284331,5.404027936,3.59211061,4.307914577,3.475284331,3.789766,3.146396644,3.419530826,3.443361975,3.475284331,3.479428656,3.566228252,4.273567437,3.006280432,4.107620992,3.475284331,2.934607986,2.986277775,3.475284331,3.168793996,2.735067327,3.58629129,3.58629129,5.148632024,5.901027025,3.475284331,3.475284331,4.079762902,3.301635748,3.914648696,3.577260301,3.58629129,3.481262192,4.558763091,3.194191799,4.237694167,3.410396642,3.773410146,3.6389623,3.069313816,4.893056911,2.735067327,3.060818043,3.181356993,3.502203937,3.475284331,3.796333314,3.982358379,3.475284331,3.14557675,3.475284331,3.475284331,3.815990183,2.903734167,4.51010097,3.58629129,3.475284331
"89977_at",7.360661533,3.837614396,2.961464157,2.774985876,8.190583985,8.335032101,8.23478369,7.851819542,8.032401079,6.604762802,4.918369782,7.601338319,8.008353471,7.84877823,8.901879145,7.528518476,7.770809342,2.35018243,2.35018243,2.35018243,2.347166793,2.35018243,2.35018243,2.35018243,2.336607311,2.35018243,2.35018243,2.3408447,2.328961739,2.35018243,2.392402452,2.35018243,4.231698575,2.35018243,2.35018243,2.352229169,2.312811642,2.35018243,2.328961739,2.35018243,2.328961739,2.347166793,2.35018243,2.340143207,2.312811642,3.018961344,2.35018243,2.744998522,2.373933023,2.36134875,2.756304065,2.35018243,2.522931292,2.35018243,2.35018243,2.35018243,2.3452929,2.319224921,2.342277263,2.371289267,2.392354898,3.996559024,2.330835632,2.312811642,3.395934771,2.664990373,2.35018243,2.35018243,2.35018243,2.435533585,2.342277263,2.347166793,2.35018243,2.330835632,2.803514441,2.35018243,2.767341633,2.553392894,3.435367559,2.330835632,2.35018243,2.349040687,2.312811642,2.347166793,2.35018243,2.35018243,2.35018243,2.432329288,4.191875596,2.35018243,2.35018243,2.35018243,2.347166793,3.96346105,2.342277263,2.35018243,2.33976816,3.939708522,2.35018243,3.60595973,2.35018243,2.35018243,2.35018243,2.342277263,2.35018243,2.342277263,2.312811642,2.347166793,2.35018243,2.312811642,2.35018243,2.35018243,2.35018243,2.350643174,2.342277263,2.353352749,2.398923317,2.35018243,3.352261159,2.35018243,2.35018243
"230595_at",5.539121817,2.312811642,2.327013166,3.493843615,6.59674106,7.367653654,7.157237814,6.964370989,7.202968697,7.077492269,5.935565104,7.430291264,6.532688066,6.518346512,7.63316008,5.117297876,6.68074674,2.327013166,2.312811642,2.327013166,2.327013166,2.350446994,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.438826951,2.312811642,2.327013166,2.327013166,2.327013166,3.31487692,2.327013166,2.327013166,2.822762837,2.520082987,2.327013166,2.328997432,2.327013166,2.312811642,2.542967059,2.327013166,2.312811642,2.327013166,4.010978682,2.312811642,2.327013166,2.36172262,2.327013166,2.327013166,2.327013166,2.312811642,2.312811642,2.327013166,2.327013166,2.312811642,2.421125567,2.327013166,2.36739383,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.314437136,2.840026454,2.327013166,2.327442244,2.327013166,2.327013166,2.327013166,2.327013166,2.312811642,2.327013166,2.725347467,2.312811642,2.327013166,2.46875063,2.897000631,2.327013166,2.327013166,2.327013166,2.312811642,2.327013166,2.377900354,2.317364332,2.355235476,2.366569795,2.327013166,2.327013166,3.802408552,2.312811642,2.327013166,2.645367303,2.327013166,2.327013166,2.327013166,2.880953712,2.327013166,3.004593151,2.327013166,2.531631767,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.327013166,2.371130973
"214582_at",7.41197373,3.8415128,3.694541516,2.312811642,7.45223027,8.852126782,7.97753338,7.860527519,8.362352707,5.851033635,6.274703652,7.577620085,7.278576613,7.890257364,8.381301647,8.182411497,8.71435264,2.912487186,2.312811642,2.312811642,2.312811642,2.312811642,2.330086568,3.4099801,2.312811642,2.684238092,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,4.961581838,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.31496092,2.312811642,2.312811642,2.312811642,4.641718262,2.312811642,2.658670769,2.4704504,2.369718539,2.95360428,2.379936226,2.312811642,2.535549711,2.312811642,2.312811642,2.462473896,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,3.699648721,2.312811642,2.312811642,2.336717617,4.005630347,2.312811642,2.596012559,2.312811642,2.312811642,2.312811642,2.312811642,2.382639643,2.65429473,3.458057774,2.696649141,3.186135746,2.363358398,2.757110825,2.312811642,2.314456988,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.88078088,2.312811642,3.315525705,2.312811642,2.312811642,2.312811642,2.313232975,2.312811642,3.678712437,2.723913432,2.312811642,2.312811642,2.312811642,2.705972178,2.312811642,2.61225699,2.312811642,2.312811642,3.395374536,2.312811642,3.063505497,2.312811642,2.312811642,2.312811642,3.01506399,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.598906662,2.312811642,2.336506923,2.312811642,2.312811642
"223764_x_at",6.550770773,3.099447836,2.312811642,2.462473896,6.252257573,7.409246321,6.515105592,6.450044923,7.94701894,4.656412415,5.807914044,7.130285274,4.922266413,6.626072304,6.251994466,6.948648821,8.369022387,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.427884867,2.347931547,2.318086158,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.326465431,2.74922339,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.33058454,2.312811642,2.312811642,3.102608483,2.312811642,2.312811642,2.312811642,2.406092171,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.732478391,2.312811642,2.312811642,2.312811642,2.312811642,2.707157468,2.312811642,2.312811642,2.312811642,2.387617004,2.576873242,2.934725976,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.354792561,2.312811642,2.312811642,2.422758012,2.726951267,2.312811642,2.347258778,2.312811642,2.312811642,2.506382842,2.312811642,2.320843449,2.312811642,2.411453096,2.353954872,2.333298551,2.312811642,2.312811642,2.317337686,2.324201768,2.767885402,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.427433739,2.321201659,2.312811642,2.312811642,2.312811642
"219059_s_at",8.185557504,2.320772061,2.320772061,2.320772061,8.001522815,8.060262687,7.7700537,8.7371487,7.195258072,7.185873716,6.520919626,8.922648197,6.038755851,8.946998202,8.209021756,7.441984215,7.91291357,2.443843605,2.320772061,2.320772061,2.320772061,2.480213638,2.389702536,2.320772061,2.320772061,2.319033354,2.319033354,2.507348756,2.320772061,2.320772061,2.320772061,2.320772061,2.574544655,2.320772061,2.319033354,2.320772061,2.320772061,2.678209707,2.320772061,2.320772061,2.320772061,2.319033354,2.33317239,2.320772061,2.319033354,2.587020385,3.185071057,2.319033354,2.320772061,2.320772061,2.359025042,2.320772061,2.320772061,2.320772061,2.320772061,2.320772061,2.719634018,2.320772061,2.319033354,2.320772061,2.320772061,2.602777946,2.320772061,2.320772061,2.320772061,2.320772061,2.319033354,2.320772061,2.320772061,2.320772061,2.319033354,2.319033354,2.320772061,2.319033354,2.380402735,2.320772061,2.320772061,2.320772061,3.280326459,2.334144482,2.319033354,2.319033354,2.325165776,2.320772061,2.312811642,2.319033354,2.320772061,3.930433991,2.320772061,2.320772061,2.320772061,2.43022489,2.359933308,2.320772061,2.319033354,2.320772061,2.320772061,2.965277207,2.320772061,2.522926207,2.320772061,2.323119808,2.320772061,2.320772061,2.320772061,2.319033354,2.319033354,2.320772061,2.320772061,2.320772061,2.320772061,2.320772061,2.319033354,2.320772061,2.343870577,2.320772061,2.416293032,2.319033354,2.320772061,2.320772061,2.327758009
"235670_at",7.179946991,3.710517475,4.187781886,2.340308765,7.431691323,7.111479269,8.187698234,6.336650497,6.682292772,4.246523581,5.3180963,6.570279111,5.855707495,7.104169951,7.727344791,5.976296866,6.762703091,2.340308765,2.319202616,2.319202616,2.312811642,2.340308765,2.319202616,3.425715671,2.465827451,4.36255923,2.340308765,2.340308765,2.312811642,2.328348044,2.340308765,2.340308765,4.255792242,2.340308765,2.340308765,2.340308765,2.34897527,2.340308765,2.340308765,2.340308765,2.599036163,2.319202616,2.340308765,2.340308765,2.340308765,2.340308765,2.340308765,2.340308765,2.349226948,2.340308765,2.340308765,2.319202616,2.340308765,2.340308765,2.340308765,2.340308765,2.345297146,2.319202616,2.340308765,2.340308765,2.312811642,2.887753905,2.340308765,2.340308765,2.340308765,2.340308765,2.312811642,3.291495817,2.340308765,2.35956397,2.319202616,2.319202616,2.391604108,2.340308765,2.340308765,3.429766103,2.348837733,2.388405626,2.86109324,2.340308765,2.340308765,2.340308765,2.340308765,2.340308765,2.340308765,2.340308765,2.340308765,2.340308765,2.361063319,2.340308765,2.426995708,2.312811642,2.340308765,2.340308765,2.319202616,2.340308765,2.319202616,2.340308765,2.319202616,2.741476398,2.340308765,2.312811642,2.319202616,2.340308765,2.340308765,2.340308765,2.340308765,5.059020915,2.340308765,2.340308765,2.639047371,2.340308765,2.340308765,2.340308765,2.340308765,2.372046787,2.340308765,2.312811642,2.319202616,2.340308765,2.340308765
"206930_at",7.002178528,2.312811642,2.312811642,2.312811642,6.56216713,8.649433949,8.959356138,7.750219887,8.331966274,5.652027867,6.123381814,8.800141088,8.07291842,8.428243518,8.875757352,7.753137811,8.129926492,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.346843629,2.312811642,4.05641957,2.312811642,2.312811642,2.313116103,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.379764237,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.413080765,2.312811642,2.313487728,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.5661805,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.547857424,2.337850717,2.312811642,2.379741085,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642
"221295_at",7.736067298,4.471998251,2.455400618,2.445256028,7.723306759,7.923752356,7.191320468,7.214464314,7.873580339,5.376613275,3.765141075,7.320229512,6.93714458,7.383323202,7.619691738,7.202944137,7.803686037,2.312811642,2.3874777,2.312811642,2.845574837,2.312811642,2.315381046,2.312811642,2.312811642,2.312811642,2.733803396,2.312811642,2.312811642,2.315268009,2.312811642,2.654223297,4.115969575,2.329024699,2.322137978,2.589338136,2.312811642,2.312811642,2.314998403,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.49235286,3.044265216,2.312811642,3.769500416,2.312811642,2.322948132,2.856281847,2.312811642,2.312811642,2.312811642,2.312811642,2.727900272,2.474937909,2.312811642,2.312811642,2.312811642,2.769021308,2.317870116,2.349769439,2.495866284,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,3.226376537,2.312811642,2.540850852,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.419250904,2.312811642,3.057431849,4.43151561,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.685206012,2.312811642,2.312811642,2.312811642,2.312811642,2.312811642,2.770310621,2.879627539,2.312811642,2.312811642,2.312811642,2.370867134,2.314789897,2.312811642,2.317665764,2.312811642,3.236927265
